,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
108,2016-01-01,2,69,10,2,55,0,0,1,8,0,0,73,28,0,1,33,1,81,3,15,17,2,0,10,27
109,2016-02-01,2,68,9,3,67,0,0,1,9,0,1,75,36,0,1,42,2,75,3,19,29,2,0,11,29
110,2016-03-01,2,70,8,3,62,0,0,1,8,0,1,78,30,0,0,40,1,81,2,16,23,2,0,12,25
111,2016-04-01,1,71,7,3,63,1,0,1,7,0,1,87,26,0,1,43,1,83,2,17,26,2,0,15,28
112,2016-05-01,1,73,8,3,64,0,0,1,6,0,0,93,22,0,1,38,2,87,2,21,18,2,0,9,23
113,2016-06-01,1,77,6,2,62,0,0,1,6,0,0,99,20,0,1,45,2,91,3,18,17,2,0,9,21
114,2016-07-01,1,83,7,3,64,0,0,1,5,0,0,99,16,0,0,37,1,81,2,18,21,2,0,11,19
115,2016-08-01,2,77,13,3,59,0,0,1,8,0,0,90,26,0,0,39,1,82,3,16,20,0,0,10,23
116,2016-09-01,2,81,9,3,60,0,0,1,9,0,1,79,30,0,1,35,2,80,2,15,29,1,0,10,27
117,2016-10-01,1,77,8,4,56,0,0,1,8,0,0,82,25,0,0,38,2,81,3,18,23,2,0,10,25
118,2016-11-01,1,74,8,3,67,1,0,1,7,0,0,74,23,0,0,34,1,81,2,16,19,2,0,12,23
119,2016-12-01,1,84,8,2,53,1,0,1,6,0,1,75,19,0,0,34,1,75,2,13,18,1,0,8,20
120,2017-01-01,2,79,9,3,56,0,0,1,7,0,0,76,29,0,0,31,1,80,3,16,27,1,0,13,22
121,2017-02-01,2,79,8,3,64,1,0,1,7,0,0,77,34,0,0,37,2,82,2,18,27,2,0,17,27
122,2017-03-01,1,75,7,3,60,1,0,1,8,0,1,82,31,0,0,41,2,78,3,20,20,1,0,9,26
123,2017-04-01,1,84,6,3,58,1,0,1,7,0,1,85,26,0,1,38,1,82,3,20,25,2,0,14,23
124,2017-05-01,2,84,7,3,62,0,0,1,5,0,1,90,20,0,0,40,1,90,2,21,16,2,0,9,19
125,2017-06-01,1,91,6,3,65,0,0,1,5,0,0,100,16,0,1,42,1,93,3,22,17,1,0,10,17
126,2017-07-01,1,96,6,3,64,0,0,1,5,0,0,97,18,0,1,35,1,95,3,19,20,1,0,7,16
127,2017-08-01,2,87,9,3,61,0,0,1,8,0,0,85,23,0,0,41,1,90,2,21,17,1,0,11,18
128,2017-09-01,2,89,8,2,61,0,0,2,8,0,1,94,27,0,0,34,2,100,3,22,23,2,0,19,24
129,2017-10-01,1,88,6,3,58,1,0,1,8,0,1,83,26,0,1,36,2,95,3,21,27,0,0,12,25
130,2017-11-01,1,89,7,3,64,0,0,1,6,0,1,76,23,0,0,31,1,81,2,20,28,0,0,6,22
131,2017-12-01,1,100,6,3,54,0,0,1,5,0,0,74,19,0,0,28,1,78,1,13,17,1,0,7,16
